label,area,equivalent_diameter,mean_intensity-0,mean_intensity-1,mean_intensity-2,solidity
1,909.0,34.02021084832166,140.8041804180418,77.3916391639164,147.62266226622663,0.9763694951664876
2,426.0,23.28948359361322,95.71830985915493,92.65727699530517,163.8943661971831,0.9703872437357631
3,320.0,20.185060176161283,69.284375,48.8875,115.5125,0.9523809523809523
4,282.0,18.948708441878455,83.02482269503547,58.57801418439716,130.1595744680851,0.94
5,601.0,27.66255531193445,55.17304492512479,36.29950083194676,95.40931780366057,0.9693548387096774
6,602.0,27.685559519911603,114.7109634551495,71.44186046511628,133.95182724252493,0.9662921348314607
7,585.0,27.29185104880338,126.58119658119658,71.71282051282051,143.9247863247863,0.9733777038269551
8,631.0,28.34456125481373,120.41679873217116,61.8811410459588,132.78288431061807,0.9633587786259542
9,635.0,28.43425945768288,79.0740157480315,43.111811023622046,109.91653543307086,0.9679878048780488
10,341.0,20.83685880248485,79.60410557184751,52.30791788856305,121.22873900293256,0.9605633802816902
11,371.0,21.73411767467788,69.52021563342318,56.19407008086253,123.04312668463612,0.958656330749354
12,619.0,28.07374713484229,112.78190630048465,59.221324717285945,129.35541195476574,0.9656786271450858
13,212.0,16.42944866646031,83.46698113207547,58.471698113207545,128.23584905660377,0.9506726457399103
14,535.0,26.099485750361293,114.22990654205607,60.33457943925234,128.14205607476634,0.9744990892531876
15,672.0,29.25093116572581,133.23065476190476,67.37946428571429,137.97470238095238,0.9627507163323782
16,893.0,33.71947380147709,127.22284434490481,67.25531914893617,137.29115341545352,0.9727668845315904
17,785.0,31.614759885488656,106.73503184713375,51.98089171974522,115.07006369426752,0.9703337453646477
18,509.0,25.45739437315213,69.77799607072691,48.76620825147348,117.82318271119843,0.9640151515151515
19,882.0,33.511151553720346,202.23242630385488,147.23469387755102,205.17573696145124,0.9649890590809628
20,573.0,27.010484244701136,82.60907504363001,49.382198952879584,117.90575916230367,0.947107438016529
21,617.0,28.02835705319874,204.3484602917342,131.33711507293356,197.12803889789302,0.9686028257456829
22,708.0,30.024216853608277,139.3728813559322,70.66949152542372,141.6045197740113,0.9606512890094979
23,317.0,20.090219901261573,65.02208201892745,52.186119873817034,123.2429022082019,0.9577039274924471
24,1195.0,39.00668219624068,113.62259414225942,57.69958158995816,125.79665271966527,0.9676113360323887
25,401.0,22.595775212167435,78.67581047381546,57.19700748129676,123.84538653366583,0.9593301435406698
26,254.0,17.983404693292407,70.51181102362204,46.41732283464567,107.24803149606299,0.9621212121212122
27,424.0,23.23474912642073,84.29245283018868,46.8561320754717,105.01179245283019,0.9747126436781609
28,389.0,22.255115881567058,79.31619537275064,46.146529562982,114.19280205655527,0.948780487804878
29,904.0,33.92651689225682,146.4004424778761,101.41261061946902,177.43252212389382,0.9720430107526882
30,354.0,21.23032733700184,125.64971751412429,92.52542372881356,155.180790960452,0.9645776566757494
31,439.0,23.642169108157916,91.11845102505694,55.22323462414579,125.18906605922551,0.9585152838427947
32,764.0,31.18902069924069,111.54712041884817,56.88612565445026,125.68455497382199,0.9646464646464646
33,493.0,25.05408341078227,88.06896551724138,51.57809330628803,117.63488843813387,0.9426386233269598
34,326.0,20.37341629633241,65.77300613496932,39.38650306748466,102.61349693251533,0.9504373177842566
35,404.0,22.680140565547774,129.8861386138614,74.0940594059406,148.14851485148515,0.957345971563981
36,327.0,20.404639941160397,89.17737003058105,57.39755351681957,130.14678899082568,0.9674556213017751
37,377.0,21.909160375631842,73.42970822281167,47.39522546419098,116.27851458885942,0.952020202020202
38,470.0,24.462677409178383,95.18936170212766,63.41063829787234,132.5936170212766,0.9631147540983607
39,600.0,27.63953195770684,130.86333333333334,66.705,135.78666666666666,0.9630818619582665
40,428.0,23.34408972623798,105.9696261682243,52.64485981308411,115.91588785046729,0.9683257918552036
